county,state,cbsa,kind
Brown County,South Dakota,"Aberdeen, SD",Micropolitan Statistical Area
Edmunds County,South Dakota,"Aberdeen, SD",Micropolitan Statistical Area
Grays Harbor County,Washington,"Aberdeen, WA",Micropolitan Statistical Area
Callahan County,Texas,"Abilene, TX",Metropolitan Statistical Area
Jones County,Texas,"Abilene, TX",Metropolitan Statistical Area
Taylor County,Texas,"Abilene, TX",Metropolitan Statistical Area
Pontotoc County,Oklahoma,"Ada, OK",Micropolitan Statistical Area
Lenawee County,Michigan,"Adrian, MI",Micropolitan Statistical Area
Aguada Municipio,Puerto Rico,"Aguadilla, PR",Metropolitan Statistical Area
Aguadilla Municipio,Puerto Rico,"Aguadilla, PR",Metropolitan Statistical Area
Añasco Municipio,Puerto Rico,"Aguadilla, PR",Metropolitan Statistical Area
Isabela Municipio,Puerto Rico,"Aguadilla, PR",Metropolitan Statistical Area
Moca Municipio,Puerto Rico,"Aguadilla, PR",Metropolitan Statistical Area
Rincón Municipio,Puerto Rico,"Aguadilla, PR",Metropolitan Statistical Area
San Sebastián Municipio,Puerto Rico,"Aguadilla, PR",Metropolitan Statistical Area
Portage County,Ohio,"Akron, OH",Metropolitan Statistical Area
Summit County,Ohio,"Akron, OH",Metropolitan Statistical Area
Otero County,New Mexico,"Alamogordo, NM",Micropolitan Statistical Area
Alamosa County,Colorado,"Alamosa, CO",Micropolitan Statistical Area
Conejos County,Colorado,"Alamosa, CO",Micropolitan Statistical Area
Costilla County,Colorado,"Alamosa, CO",Micropolitan Statistical Area
Dougherty County,Georgia,"Albany, GA",Metropolitan Statistical Area
Lee County,Georgia,"Albany, GA",Metropolitan Statistical Area
Terrell County,Georgia,"Albany, GA",Metropolitan Statistical Area
Worth County,Georgia,"Albany, GA",Metropolitan Statistical Area
Linn County,Oregon,"Albany, OR",Metropolitan Statistical Area
Albany County,New York,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area
Rensselaer County,New York,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area
Saratoga County,New York,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area
Schenectady County,New York,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area
Schoharie County,New York,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area
Stanly County,North Carolina,"Albemarle, NC",Micropolitan Statistical Area
Freeborn County,Minnesota,"Albert Lea, MN",Micropolitan Statistical Area
Marshall County,Alabama,"Albertville, AL",Micropolitan Statistical Area
Bernalillo County,New Mexico,"Albuquerque, NM",Metropolitan Statistical Area
Sandoval County,New Mexico,"Albuquerque, NM",Metropolitan Statistical Area
Torrance County,New Mexico,"Albuquerque, NM",Metropolitan Statistical Area
Valencia County,New Mexico,"Albuquerque, NM",Metropolitan Statistical Area
Tallapoosa County,Alabama,"Alexander City, AL",Micropolitan Statistical Area
Grant Parish,Louisiana,"Alexandria, LA",Metropolitan Statistical Area
Rapides Parish,Louisiana,"Alexandria, LA",Metropolitan Statistical Area
Douglas County,Minnesota,"Alexandria, MN",Micropolitan Statistical Area
Brooks County,Texas,"Alice, TX",Micropolitan Statistical Area
Jim Wells County,Texas,"Alice, TX",Micropolitan Statistical Area
Warren County,New Jersey,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area
Carbon County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area
Lehigh County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area
Northampton County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area
Gratiot County,Michigan,"Alma, MI",Micropolitan Statistical Area
Alpena County,Michigan,"Alpena, MI",Micropolitan Statistical Area
Blair County,Pennsylvania,"Altoona, PA",Metropolitan Statistical Area
Jackson County,Oklahoma,"Altus, OK",Micropolitan Statistical Area
Armstrong County,Texas,"Amarillo, TX",Metropolitan Statistical Area
Carson County,Texas,"Amarillo, TX",Metropolitan Statistical Area
Oldham County,Texas,"Amarillo, TX",Metropolitan Statistical Area
Potter County,Texas,"Amarillo, TX",Metropolitan Statistical Area
Randall County,Texas,"Amarillo, TX",Metropolitan Statistical Area
Schley County,Georgia,"Americus, GA",Micropolitan Statistical Area
Sumter County,Georgia,"Americus, GA",Micropolitan Statistical Area
Boone County,Iowa,"Ames, IA",Metropolitan Statistical Area
Story County,Iowa,"Ames, IA",Metropolitan Statistical Area
Hampshire County,Massachusetts,"Amherst Town-Northampton, MA",Metropolitan Statistical Area
Montgomery County,New York,"Amsterdam, NY",Micropolitan Statistical Area
Anchorage Municipality,Alaska,"Anchorage, AK",Metropolitan Statistical Area
Matanuska-Susitna Borough,Alaska,"Anchorage, AK",Metropolitan Statistical Area
Harnett County,North Carolina,"Anderson Creek, NC",Micropolitan Statistical Area
Andrews County,Texas,"Andrews, TX",Micropolitan Statistical Area
Steuben County,Indiana,"Angola, IN",Micropolitan Statistical Area
Washtenaw County,Michigan,"Ann Arbor, MI",Metropolitan Statistical Area
Calhoun County,Alabama,"Anniston-Oxford, AL",Metropolitan Statistical Area
Calumet County,Wisconsin,"Appleton, WI",Metropolitan Statistical Area
Outagamie County,Wisconsin,"Appleton, WI",Metropolitan Statistical Area
DeSoto County,Florida,"Arcadia, FL",Micropolitan Statistical Area
Carter County,Oklahoma,"Ardmore, OK",Micropolitan Statistical Area
Arecibo Municipio,Puerto Rico,"Arecibo, PR",Metropolitan Statistical Area
Camuy Municipio,Puerto Rico,"Arecibo, PR",Metropolitan Statistical Area
Hatillo Municipio,Puerto Rico,"Arecibo, PR",Metropolitan Statistical Area
Quebradillas Municipio,Puerto Rico,"Arecibo, PR",Metropolitan Statistical Area
Clark County,Arkansas,"Arkadelphia, AR",Micropolitan Statistical Area
Cowley County,Kansas,"Arkansas City-Winfield, KS",Micropolitan Statistical Area
Buncombe County,North Carolina,"Asheville, NC",Metropolitan Statistical Area
Henderson County,North Carolina,"Asheville, NC",Metropolitan Statistical Area
Madison County,North Carolina,"Asheville, NC",Metropolitan Statistical Area
Ashland County,Ohio,"Ashland, OH",Micropolitan Statistical Area
Clatsop County,Oregon,"Astoria, OR",Micropolitan Statistical Area
Atchison County,Kansas,"Atchison, KS",Micropolitan Statistical Area
Athens County,Ohio,"Athens, OH",Micropolitan Statistical Area
McMinn County,Tennessee,"Athens, TN",Micropolitan Statistical Area
Meigs County,Tennessee,"Athens, TN",Micropolitan Statistical Area
Henderson County,Texas,"Athens, TX",Micropolitan Statistical Area
Clarke County,Georgia,"Athens-Clarke County, GA",Metropolitan Statistical Area
Madison County,Georgia,"Athens-Clarke County, GA",Metropolitan Statistical Area
Oconee County,Georgia,"Athens-Clarke County, GA",Metropolitan Statistical Area
Oglethorpe County,Georgia,"Athens-Clarke County, GA",Metropolitan Statistical Area
Barrow County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Butts County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Carroll County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Clayton County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Coweta County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Dawson County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
DeKalb County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Douglas County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Fayette County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Forsyth County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Fulton County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Gwinnett County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Heard County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Henry County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Jasper County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Lumpkin County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Meriwether County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Morgan County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Newton County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Pickens County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Pike County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Rockdale County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Spalding County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Walton County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Bartow County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
Cherokee County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
